,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-CF-A27C-01,-0.012177258729934692,-0.12646567821502686,0.25868725776672363,-0.24878764152526855,0.029675424098968506,0.28054279088974,BLCA
TCGA-CF-A3MF-01,0.015146613121032715,0.09666420519351959,-0.08598927408456802,-0.05022576451301575,-0.19733412563800812,0.23795154690742493,BLCA
TCGA-CF-A3MG-01,0.1415739357471466,0.12555062770843506,0.4910867214202881,-0.3830978572368622,-0.15316274762153625,0.3763812184333801,BLCA
TCGA-CF-A3MH-01,0.17559805512428284,0.07709850370883942,0.38052666187286377,-0.4604823887348175,-0.2703562378883362,0.391070693731308,BLCA
TCGA-CF-A3MI-01,0.21237967908382416,0.03220243752002716,0.26079174876213074,-0.296669065952301,0.013534888625144958,0.3989858329296112,BLCA
TCGA-CF-A47S-01,0.2370745837688446,0.04500354826450348,0.48212188482284546,-0.3845813274383545,-0.24484357237815857,0.4090949296951294,BLCA
TCGA-CF-A47T-01,0.19708913564682007,-0.002078026533126831,0.30380064249038696,-0.15975618362426758,-0.06842558085918427,0.34748268127441406,BLCA
TCGA-CF-A47V-01,-0.10649576038122177,0.03415656462311745,0.008055448532104492,-0.06741166859865189,-0.06347121298313141,0.08676998317241669,BLCA
TCGA-CF-A47W-01,0.09796727448701859,0.0330142080783844,0.0894877016544342,-0.2805846929550171,0.28246569633483887,0.4654389023780823,BLCA
TCGA-CF-A47X-01,-0.13688699901103973,0.0022436678409576416,0.27791571617126465,-0.09354934096336365,0.1270591914653778,0.20816805958747864,BLCA
TCGA-CF-A47Y-01,0.027421705424785614,-0.06742537021636963,0.015947043895721436,-0.19550538063049316,-0.1280563771724701,0.34705716371536255,BLCA
TCGA-CF-A5U8-01,0.1284523755311966,0.0002924799919128418,0.23290681838989258,-0.19387993216514587,-0.13281795382499695,0.29667800664901733,BLCA
TCGA-CF-A5UA-01,0.13912953436374664,0.0065958499908447266,0.4778551757335663,-0.32204198837280273,0.22465726733207703,-0.05628912150859833,BLCA
TCGA-CF-A7I0-01,-0.04457108676433563,0.10146450996398926,-0.049804940819740295,0.1553330421447754,0.1824258416891098,-0.15038880705833435,BLCA
TCGA-CF-A8HX-01,0.27621594071388245,0.14479273557662964,0.022910788655281067,-0.2857276499271393,0.30167752504348755,0.42353734374046326,BLCA
TCGA-CF-A8HY-01,0.3872014284133911,0.09083123505115509,0.28879866003990173,-0.1856667697429657,0.3730136752128601,0.25857067108154297,BLCA
TCGA-CF-A9FF-01,-0.029235348105430603,0.0248042494058609,0.030773252248764038,-0.008154086768627167,-0.0936013013124466,-0.08456698805093765,BLCA
TCGA-CF-A9FH-01,0.15542587637901306,0.15365217626094818,0.21113048493862152,-0.3397497534751892,-0.1779826134443283,0.46978482604026794,BLCA
TCGA-CF-A9FL-01,-0.11155475676059723,-0.08697465807199478,-0.12889544665813446,0.2286364883184433,-0.018216289579868317,-0.15064173936843872,BLCA
TCGA-CF-A9FM-01,0.07988480478525162,0.17714832723140717,0.46910011768341064,-0.1663760393857956,-0.35341164469718933,0.1433483064174652,BLCA
TCGA-CU-A0YN-01,0.15326343476772308,-0.07076283544301987,-0.06862388551235199,-0.04064464196562767,-0.23891474306583405,-0.22792698442935944,BLCA
TCGA-CU-A0YN-11,-0.8125847578048706,-0.35973626375198364,-0.9815411567687988,1.0983757972717285,0.46150892972946167,-0.9588809609413147,BLCA
TCGA-CU-A0YO-01,-0.15825238823890686,-0.01151224970817566,0.4577923119068146,-0.22072875499725342,-0.5438686013221741,0.09410634636878967,BLCA
TCGA-CU-A0YR-01,0.09558925777673721,0.38014844059944153,0.1674838662147522,-0.05719207227230072,-0.25498437881469727,-0.11066004633903503,BLCA
TCGA-CU-A0YR-11,-0.5794246196746826,-0.21136951446533203,-0.3243546783924103,0.6158756017684937,0.21732769906520844,-0.5462393760681152,BLCA
TCGA-CU-A3KJ-01,-0.20801015198230743,0.1198526918888092,-0.22300530970096588,0.31361886858940125,-0.1587435007095337,-0.2515655755996704,BLCA
TCGA-CU-A3QU-01,-0.041472017765045166,0.19072142243385315,0.21496513485908508,-0.11265844106674194,0.23297341167926788,0.025821179151535034,BLCA
TCGA-CU-A3YL-01,-0.12194396555423737,0.034640662372112274,-0.06375083327293396,-0.1670510321855545,0.24490885436534882,0.30089250206947327,BLCA
TCGA-CU-A5W6-01,0.026409491896629333,0.2677402198314667,0.05455266684293747,-0.17794537544250488,-0.0583546981215477,0.18465733528137207,BLCA
TCGA-CU-A72E-01,0.06232656538486481,-0.19624489545822144,0.03935331106185913,0.009411841630935669,-0.4201084077358246,0.3022817373275757,BLCA
TCGA-DK-A1A3-01,-0.07438994199037552,0.09711754322052002,0.04011553153395653,0.2665168344974518,0.07326298952102661,-0.4460761547088623,BLCA
TCGA-DK-A1A5-01,-0.00991976261138916,-0.1956121176481247,-0.23317201435565948,-0.0804913267493248,-0.10005658119916916,0.018914014101028442,BLCA
TCGA-DK-A1A6-01,0.1836923360824585,0.16069889068603516,0.24676182866096497,-0.16439688205718994,-0.1661739945411682,0.3315823972225189,BLCA
TCGA-DK-A1A7-01,-0.15500834584236145,-0.024580806493759155,0.04830004274845123,-0.03658643364906311,0.3084602952003479,0.07294873893260956,BLCA
TCGA-DK-A1AA-01,0.1230849176645279,0.0046585798263549805,0.3280295729637146,-0.2213873714208603,-0.6383732557296753,0.3089919090270996,BLCA
TCGA-DK-A1AB-01,-0.47946369647979736,-0.3855436444282532,-0.19494062662124634,0.06785431504249573,-0.2863244414329529,-0.3553035259246826,BLCA
