perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-K24496482,13,4098,0.12997694341764507,0.1674216698677572,0.5629537677335734,True,SB-590885,sb590885,RAF inhibitor
BRD-K37687095,15,6714,0.6894805879674406,0.8657254114385083,0.5566628548045689,True,AZD-8330,azd8330,MEK inhibitor
BRD-K83963101,21,4736,0.130156182932357,0.15834474743174606,0.5488535070992901,True,MLN-8054,mln8054,Aurora kinase inhibitor
BRD-A35869383,22,2520,0.11128994194790721,0.13226649719757597,0.5430630274511832,True,ibrutinib,ibrutinib,Bruton's tyrosine kinase (BTK) inhibitor
BRD-K37720887,22,2532,0.13317810986191034,0.1523838355512193,0.5336279500784384,True,SB-525334,sb525334,TGF beta receptor inhibitor
BRD-K67578145,19,2460,0.12808274954307677,0.14550674908262712,0.5318433266391339,True,GDC-0879,gdc0879,RAF inhibitor
BRD-K26838195,22,2472,0.16378619060183053,0.17898707803960626,0.5221733851913594,True,AST-1306,ast1306,EGFR inhibitor
BRD-A90451247,19,2330,0.16504316664167812,0.17250774022143173,0.5110569597473793,True,KU-60019,ku60019,ATM kinase inhibitor
BRD-U70626184,19,2231,0.16671113835680001,0.17247898681127374,0.5085023826262861,True,BI-2536,bi2536,PLK inhibitor
BRD-K79254416,21,5109,0.10198170498285526,0.1035236514459237,0.503751596770673,True,decitabine,decitabine,DNA methyltransferase inhibitor
BRD-K12040459,22,2520,0.18219614411729917,0.18204426907588697,0.49979151813484846,True,AT7867,at7867,AKT inhibitor
BRD-K54256913,21,4618,0.49167110910441014,0.4808549877145954,0.4944391613627682,True,MK-1775,mk1775,WEE1 kinase inhibitor
BRD-K09991945,22,2509,0.10394047868985627,0.10146146422774827,0.49396545517803975,True,GSK-3-inhibitor-II,gsk3inhibitorii,
BRD-K33379087,24,4854,0.25223658038712826,0.2415188782190639,0.4891467507029501,True,tivantinib,tivantinib,tyrosine kinase inhibitor
BRD-K28392481,24,4782,0.294197462671742,0.2812152965016299,0.4887192576431898,True,AZD-4547,azd4547,FGFR inhibitor
BRD-K32536677,19,2397,0.12413414064689544,0.11853843735301177,0.48847067241794867,True,AGK-2,agk2,
BRD-K68336408,22,2532,0.11070222111418843,0.10527991653505503,0.4874473309734084,True,tyrphostin-AG-1478,tyrphostinag1478,EGFR inhibitor
BRD-K26760349,22,2508,0.21565387149651846,0.20019938704290166,0.4814183439274989,True,HG-9-91-01,hg99101,
BRD-K78790801,19,2460,0.06975532826764623,0.06460013675090655,0.4808151029955208,True,KIN001-269,kin001269,
BRD-K92428232,21,4782,0.49234916105587617,0.45364911784499634,0.47954539449276573,True,GSK-461364,gsk461364,PLK inhibitor
BRD-K51575138,22,2267,0.24492223138414967,0.22481399297087937,0.47859624468936807,True,TPCA-1,tpca1,IKK inhibitor
